source,target,type,URL
datapipeline.classtivity_classes_timetable,datapipeline.hist_cp_fill,source,https://github.com/search?q=org%3Aclasspass+classtivity_classes_timetable&type=code

datapipeline.passport_reservations,datapipeline.hist_cp_fill,UNK,https://github.com/search?q=org%3Aclasspass+passport_reservations&type=code
datapipeline.sched_schedules,datapipeline.hist_cp_fill,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/sched_schedules.sql
datapipeline.venue_payment_history,datapipeline.hist_cp_fill,UNK,https://github.com/search?q=org%3Aclasspass%20venue_payment_history&type=code

finance_historicals.sched_schedules,datapipeline.sched_schedules,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/sched_schedules.sql

datapipeline.schedule_incremental_update,finance_historicals.sched_schedules,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/partnerships/supply_health_rebuild/schedule_incremental_update.sql
datapipeline.classtivity_classes_timetable,finance_historicals.sched_schedules,source,https://github.com/search?q=org%3Aclasspass+classtivity_classes_timetable&type=code
datapipeline.passport_schedules,finance_historicals.sched_schedules,UNK,https://github.com/search?q=org%3Aclasspass%20passport_schedules&type=code
datapipeline.sched_spot_facts,finance_historicals.sched_schedules,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/sched_spot_facts.sql#L42
datapipeline.schedule_inventory_capacity,finance_historicals.sched_schedules,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/partnerships/supply_health_rebuild/schedule_inventory_capacity.sql
datapipeline.sched_total_spots_taken,finance_historicals.sched_schedules,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/sched_total_spots_taken.sql
datapipeline.bi_schedule_historical_info,finance_historicals.sched_schedules,UNK,https://github.com/search?q=org%3Aclasspass%20bi_schedule_historical_info&type=code
datapipeline.livestream_schedules_v2,finance_historicals.sched_schedules,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/partnerships/supply_health_rebuild/livestream_schedules_v2.sql
bi_fact_tables.paused_schedules,finance_historicals.sched_schedules,UNK,https://github.com/search?q=repo%3Aclasspass%2Fanalytics-db%20paused_schedules&type=code
datapipeline.schedules_venue_admin_status,finance_historicals.sched_schedules,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/partnerships/supply_health_rebuild/schedules_venue_admin_status.sql#L4
datapipeline.out_of_network_schedules,finance_historicals.sched_schedules,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/partnerships/out_of_network/out_of_network_schedules.sql#L1
datapipeline.out_of_network_schedule_segments,finance_historicals.sched_schedules,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/partnerships/out_of_network/out_of_network_schedule_segments.sql#L5
bi_fact_tables.cancelled_schedules,finance_historicals.sched_schedules,UNK,https://github.com/search?q=repo%3Aclasspass%2Fanalytics-db%20cancelled_schedules&type=code
datapipeline.passport_classes,finance_historicals.sched_schedules,UNK,https://github.com/search?q=repo%3Aclasspass%2Fanalytics-db+passport_classes&type=code
datapipeline.classtivity_classes,finance_historicals.sched_schedules,source,https://github.com/search?q=org%3Aclasspass+classtivity_classes&type=code
datapipeline.classtivity_venues,finance_historicals.sched_schedules,source,https://github.com/search?q=org%3Aclasspass+classtivity_venues&type=code
lapi_classtivityprd.passport_venues,finance_historicals.sched_schedules,UNK,https://github.com/search?q=org%3Aclasspass+passport_venues&type=code
datapipeline.classtivity_descriptions,finance_historicals.sched_schedules,source,https://github.com/search?q=org%3Aclasspass+classtivity_descriptions&type=code
datapipeline.classtivity_teachers,finance_historicals.sched_schedules,source,https://github.com/search?q=org%3Aclasspass+classtivity_teachers&type=code
datapipeline.classtivity_msa,finance_historicals.sched_schedules,source,https://github.com/search?q=org%3Aclasspass+classtivity_msa&type=code

datapipeline.classtivity_classes_timetable,datapipeline.schedule_incremental_update,source,https://github.com/search?q=org%3Aclasspass+classtivity_classes_timetable&type=code

datapipeline.classtivity_classes_timetable,datapipeline.sched_spot_facts,source,https://github.com/search?q=org%3Aclasspass+classtivity_classes_timetable&type=code
datapipeline.schedule_inventory_capacity,datapipeline.sched_spot_facts,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/partnerships/supply_health_rebuild/schedule_inventory_capacity.sql
datapipeline.passport_schedules,datapipeline.sched_spot_facts,UNK,https://github.com/search?q=org%3Aclasspass%20passport_schedules&type=code
datapipeline.passport_classes,datapipeline.sched_spot_facts,UNK,https://github.com/search?q=repo%3Aclasspass%2Fanalytics-db+passport_classes&type=code
datapipeline.classtivity_classes,datapipeline.sched_spot_facts,source,https://github.com/search?q=org%3Aclasspass+classtivity_classes_timetable&type=code
datapipeline.classtivity_venues,datapipeline.sched_spot_facts,source,https://github.com/search?q=org%3Aclasspass+classtivity_venues&type=code
datapipeline.passport_venues,datapipeline.sched_spot_facts,UNK,https://github.com/search?q=org%3Aclasspass+passport_venues&type=code
datapipeline.bi_schedule_historical_info,datapipeline.sched_spot_facts,UNK,https://github.com/search?q=org%3Aclasspass%20bi_schedule_historical_info&type=code

datapipeline.res_reservations_historicals,datapipeline.sched_total_spots_taken,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/res_reservations/res_reservations_historicals.sql

bi_fact_tables.livestream_schedules_v2,datapipeline.livestream_schedules_v2,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/partnerships/supply_health_rebuild/livestream_schedules_v2.sql

datapipeline.schedule_incremental_update,bi_fact_tables.livestream_schedules_v2,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/partnerships/supply_health_rebuild/schedule_incremental_update.sql
reservations_service_public.livestream_link_log,bi_fact_tables.livestream_schedules_v2,UNK,https://github.com/classpass/reservation-service/blob/cd30c5916888717e3458db5d490ce0904aad721b/dao/src/main/java/com/classpass/reservations/dao/LivestreamLinkLogDao.kt#L47
datapipeline.content_tags_summary,bi_fact_tables.livestream_schedules_v2,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/tags_rebuild/content_tags_summary.sql#L3

datapipeline.schedule_incremental_update,bi_fact_tables.schedules_venue_admin_status,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/partnerships/supply_health_rebuild/schedule_incremental_update.sql
datapipeline.admin_venue_toggle_log,bi_fact_tables.schedules_venue_admin_status,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/admin_venue_toggle_log.sql#L58


bi_fact_tables.schedules_venue_admin_status,datapipeline.schedules_venue_admin_status,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/partnerships/supply_health_rebuild/schedules_venue_admin_status.sql#L4

